code,complexity
"def maximal_square(matrix):
    if not matrix: return 0
    rows, cols = len(matrix), len(matrix[0])
    dp = [[0]*cols for _ in range(rows)]
    max_side = 0
    for i in range(rows):
        for j in range(cols):
            if matrix[i][j] == '1':
                dp[i][j] = 1 if i==0 or j==0 else 1 + min(dp[i-1][j], dp[i][j-1], dp[i-1][j-1])
                max_side = max(max_side, dp[i][j])
    return max_side*max_side ",O(n*m)
"def min_cost_stairs(cost):
    n = len(cost)
    dp = [0]*(n+1)
    for i in range(2, n+1):
        dp[i] = min(dp[i-1] + cost[i-1], dp[i-2] + cost[i-2])
    return dp[n] ",O(n)
"def house_robber(nums):
    if not nums: return 0
    if len(nums) == 1: return nums[0]
    dp = [0]*len(nums)
    dp[0], dp[1] = nums[0], max(nums[0], nums[1])
    for i in range(2, len(nums)):
        dp[i] = max(dp[i-1], dp[i-2] + nums[i])
    return dp[-1] ",O(n)
"def house_robber_recursive(nums, i=0, memo={}):
    if i >= len(nums):
        return 0
    if i in memo:
        return memo[i]
    memo[i] = max(nums[i] + house_robber_recursive(nums, i+2, memo),
                  house_robber_recursive(nums, i+1, memo))
    return memo[i] ",O(n)
"def fib_fast_doubling(n):
    if n == 0:
        return (0, 1)
    a, b = fib_fast_doubling(n//2)
    c = a*(2*b - a)
    d = a*a + b*b
    return (c, d) if n % 2 == 0 else (d, c+d) ",O(logn)
"def catalan_dp(n):
    catalan = [0]*(n+1)
    catalan[0] = catalan[1] = 1
    for i in range(2, n+1):
        for j in range(i):
            catalan[i] += catalan[j] * catalan[i-j-1]
    return catalan[n] ",O(n^2)
"def subset_sum(arr, target, i=0):
    if target == 0:
        return True
    if i >= len(arr) or target < 0:
        return False
    return subset_sum(arr, target - arr[i], i+1) or subset_sum(arr, target, i+1) ",O(2^n)
"def longest_palindromic_subsequence(s):
    n = len(s)
    dp = [[0]*n for _ in range(n)]
    for i in range(n):
        dp[i][i] = 1
    for cl in range(2, n+1):
        for i in range(n-cl+1):
            j = i+cl-1
            if s[i] == s[j] and cl == 2:
                dp[i][j] = 2
            elif s[i] == s[j]:
                dp[i][j] = dp[i+1][j-1] + 2
            else:
                dp[i][j] = max(dp[i][j-1], dp[i+1][j])
    return dp[0][n-1] ",O(n^2)
"def longest_repeating_subsequence(s):
    n = len(s)
    dp = [[0]*(n+1) for _ in range(n+1)]
    for i in range(1, n+1):
        for j in range(1, n+1):
            if s[i-1] == s[j-1] and i != j:
                dp[i][j] = dp[i-1][j-1] + 1
            else:
                dp[i][j] = max(dp[i-1][j], dp[i][j-1])
    return dp[n][n] ",O(n^2)
"def check_parentheses(s):
    stack = []
    mapping = {')':'(', '}':'{', ']':'['}
    for char in s:
        if char in mapping.values():
            stack.append(char)
        elif char in mapping:
            if not stack or stack.pop() != mapping[char]:
                return False
    return not stack ",O(n)
"def evaluate_infix(expr):
    import operator
    ops = {'+': operator.add, '-': operator.sub, '*': operator.mul, '/': operator.truediv}
    tokens = expr.split()
    stack = []
    for token in tokens:
        if token in ops:
            b, a = stack.pop(), stack.pop()
            stack.append(ops[token](a, b))
        else:
            stack.append(float(token))
    return stack[0] ",O(n)
"def determinant(matrix):
    if len(matrix) == 1:
        return matrix[0][0]
    if len(matrix) == 2:
        return matrix[0][0]*matrix[1][1] - matrix[0][1]*matrix[1][0]
    det = 0
    for c in range(len(matrix)):
        submatrix = [row[:c] + row[c+1:] for row in matrix[1:]]
        det += ((-1)**c) * matrix[0][c] * determinant(submatrix)
    return det ",O(n!)
"def invert_matrix(matrix):
    n = len(matrix)
    aug = [row + [1 if i==j else 0 for j in range(n)] for i, row in enumerate(matrix)]
    for i in range(n):
        pivot = aug[i][i]
        aug[i] = [x/pivot for x in aug[i]]
        for j in range(n):
            if j != i:
                factor = aug[j][i]
                aug[j] = [x - factor*y for x, y in zip(aug[j], aug[i])]
    return [row[n:] for row in aug] ",O(n^3)
"def gaussian_elimination(A, b):
    n = len(b)
    for i in range(n):
        pivot = A[i][i]
        A[i] = [x/pivot for x in A[i]]
        b[i] /= pivot
        for j in range(n):
            if j != i:
                factor = A[j][i]
                A[j] = [a - factor*x for a, x in zip(A[j], A[i])]
                b[j] -= factor*b[i]
    return b ",O(n^3)
"def matrix_rank(matrix):
    m = [row[:] for row in matrix]
    rows, cols = len(m), len(m[0])
    rank = 0
    for c in range(cols):
        pivot = None
        for r in range(rank, rows):
            if m[r][c] != 0:
                pivot = r
                break
        if pivot is not None:
            m[rank], m[pivot] = m[pivot], m[rank]
            pivot_val = m[rank][c]
            m[rank] = [x / pivot_val for x in m[rank]]
            for r in range(rows):
                if r != rank:
                    factor = m[r][c]
                    m[r] = [x - factor*y for x, y in zip(m[r], m[rank])]
            rank += 1
    return rank ",O(n^3)
"def polynomial_multiply(p, q):
    result = [0]*(len(p)+len(q)-1)
    for i in range(len(p)):
        for j in range(len(q)):
            result[i+j] += p[i]*q[j]
    return result ",O(n^2)
"def fft(x):
    import cmath
    n = len(x)
    if n <= 1: 
        return x
    even = fft(x[0::2])
    odd = fft(x[1::2])
    T = [0]*n
    for k in range(n//2):
        t = cmath.exp(-2j*cmath.pi*k/n) * odd[k]
        T[k] = even[k] + t
        T[k+n//2] = even[k] - t
    return T ",O(nlogn)
"def ifft(x):
    import cmath
    n = len(x)
    if n <= 1: 
        return x
    even = ifft(x[0::2])
    odd = ifft(x[1::2])
    T = [0]*n
    for k in range(n//2):
        t = cmath.exp(2j*cmath.pi*k/n) * odd[k]
        T[k] = even[k] + t
        T[k+n//2] = even[k] - t
    return [y/n for y in T] ",O(nlogn)
"def horner(poly, x):
    result = 0
    for coeff in poly:
        result = result*x + coeff
    return result ",O(n)
"def count_inversions(arr):
    def update(BIT, i, n):
        while i < len(BIT):
            BIT[i] += 1
            i += i & -i
    def query(BIT, i):
        s = 0
        while i:
            s += BIT[i]
            i -= i & -i
        return s
    max_val = max(arr)
    BIT = [0]*(max_val+1)
    inv_count = 0
    for num in reversed(arr):
        inv_count += query(BIT, num-1)
        update(BIT, num, max_val)
    return inv_count ",O(nlogn)
"def build_segment_tree(arr):
    n = len(arr)
    seg = [0]*(2*n)
    for i in range(n):
        seg[n+i] = arr[i]
    for i in range(n-1, 0, -1):
        seg[i] = seg[2*i] + seg[2*i+1]
    return seg ",O(n)
"def segment_tree_query(seg, n, l, r):
    l += n; r += n
    s = 0
    while l < r:
        if l & 1:
            s += seg[l]
            l += 1
        if r & 1:
            r -= 1
            s += seg[r]
        l //= 2; r //= 2
    return s ",O(logn)
"def segment_tree_update(seg, n, index, value):
    index += n
    seg[index] = value
    while index > 1:
        index //= 2
        seg[index] = seg[2*index] + seg[2*index+1] ",O(logn)
"def build_sparse_table(arr):
    import math
    n = len(arr)
    k = int(math.log2(n)) + 1
    st = [[0]*n for _ in range(k)]
    st[0] = arr[:]
    for j in range(1, k):
        for i in range(n - (1 << j) + 1):
            st[j][i] = min(st[j-1][i], st[j-1][i + (1 << (j-1))])
    return st ",O(nlogn)
"def query_sparse_table(st, L, R):
    import math
    j = int(math.log2(R-L+1))
    return min(st[j][L], st[j][R - (1 << j) + 1]) ",O(1)
"def count_leaves_iterative(root):
    if not root:
        return 0
    count = 0
    stack = [root]
    while stack:
        node = stack.pop()
        if not node.left and not node.right:
            count += 1
        if node.left:
            stack.append(node.left)
        if node.right:
            stack.append(node.right)
    return count ",O(n)
"def is_balanced(root):
    def height_and_balance(node):
        if not node:
            return (0, True)
        left_height, left_balanced = height_and_balance(node.left)
        right_height, right_balanced = height_and_balance(node.right)
        balanced = left_balanced and right_balanced and abs(left_height - right_height) <= 1
        return (max(left_height, right_height) + 1, balanced)
    return height_and_balance(root)[1] ",O(n)
"def reverse_linked_list_recursive(head):
    if not head or not head.next:
        return head
    rest = reverse_linked_list_recursive(head.next)
    head.next.next = head
    head.next = None
    return rest ",O(n)
"def reverse_linked_list_iterative(head):
    prev = None
    current = head
    while current:
        next_node = current.next
        current.next = prev
        prev = current
        current = next_node
    return prev ",O(n)
"def detect_cycle_linked_list(head):
    slow = fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
        if slow == fast:
            return True
    return False ",O(n)
"def find_middle_linked_list(head):
    slow = fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
    return slow ",O(n)
"def lru_cache_get_item(cache, key):
    from collections import OrderedDict
    if key in cache:
        cache.move_to_end(key)
        return cache[key]
    return -1 ",O(1)
"def lru_cache_set_item(cache, key, value, capacity):
    from collections import OrderedDict
    if key in cache:
        cache.move_to_end(key)
    cache[key] = value
    if len(cache) > capacity:
        cache.popitem(last=False) ",O(1)
"def kadane(arr):
    max_so_far = arr[0]
    max_ending_here = arr[0]
    for x in arr[1:]:
        max_ending_here = max(x, max_ending_here + x)
        max_so_far = max(max_so_far, max_ending_here)
    return max_so_far ",O(n)
"def char_frequency(s):
    freq = {}
    for char in s:
        freq[char] = freq.get(char, 0) + 1
    return freq ",O(n)
"def group_by_frequency(lst):
    from collections import defaultdict
    d = defaultdict(list)
    for item in lst:
        d[item].append(item)
    return d ",O(n)
"def longest_unique_substring(s):
    char_index = {}
    start = 0
    max_len = 0
    for i, char in enumerate(s):
        if char in char_index and char_index[char] >= start:
            start = char_index[char] + 1
        char_index[char] = i
        max_len = max(max_len, i - start + 1)
    return max_len ",O(n)
"def two_sum_hash(nums, target):
    lookup = {}
    for i, num in enumerate(nums):
        if target - num in lookup:
            return (lookup[target - num], i)
        lookup[num] = i
    return None ",O(n)
"def three_sum(nums):
    nums.sort()
    result = []
    for i in range(len(nums)-2):
        if i > 0 and nums[i] == nums[i-1]:
            continue
        l, r = i+1, len(nums)-1
        while l < r:
            s = nums[i] + nums[l] + nums[r]
            if s == 0:
                result.append((nums[i], nums[l], nums[r]))
                l += 1; r -= 1
            elif s < 0:
                l += 1
            else:
                r -= 1
    return result ",O(n^2)
"def heapsort(arr):
    import heapq
    heapq.heapify(arr)
    return [heapq.heappop(arr) for _ in range(len(arr))] ",O(nlogn)
"def insertion_sort(arr):
    for i in range(1, len(arr)):
        key = arr[i]
        j = i-1
        while j >= 0 and arr[j] > key:
            arr[j+1] = arr[j]
            j -= 1
        arr[j+1] = key
    return arr ",O(n^2)
"def merge_sort_iterative(arr):
    width = 1
    n = len(arr)
    while width < n:
        for i in range(0, n, 2*width):
            left = arr[i:i+width]
            right = arr[i+width:i+2*width]
            arr[i:i+2*width] = merge_sorted_arrays(left, right)
        width *= 2
    return arr ",O(nlogn)
"def linear_search(arr, target):
    for i in range(len(arr)):
        if arr[i] == target:
            return i
    return -1 ",O(n)
"def constant_operation(a, b):
    return a + b ",O(1)
"def sum_elements(arr):
    total = 0
    for elem in arr:
        total += elem
    return total ",O(n)
"def binary_search(arr, target):
    low, high = 0, len(arr) - 1
    while low <= high:
        mid = (low + high) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            low = mid + 1
        else:
            high = mid - 1
    return -1 ",O(logn)
"def factorial(n):
    if n <= 1:
        return 1
    return n * factorial(n-1) ",O(n)
"def get_last_element(arr):
    return arr[-1] ",O(1)
"def calculate_average(numbers):
    total = 0
    for num in numbers:
        total += num
    return total / len(numbers) if numbers else 0 ",O(n)
"def merge_sort(arr):
    if len(arr) <= 1:
        return arr
    mid = len(arr) // 2
    left = merge_sort(arr[:mid])
    right = merge_sort(arr[mid:])
    return merge(left, right)

def merge(left, right):
    result = []
    i = j = 0
    while i < len(left) and j < len(right):
        if left[i] < right[j]:
            result.append(left[i])
            i += 1
        else:
            result.append(right[j])
            j += 1
    result.extend(left[i:])
    result.extend(right[j:])
    return result ",O(nlogn)
"def find_max(arr):
    if not arr:
        return None
    max_val = arr[0]
    for i in range(1, len(arr)):
        if arr[i] > max_val:
            max_val = arr[i]
    return max_val ",O(n)
"def power(x, n):
    if n == 0:
        return 1
    if n % 2 == 0:
        return power(x * x, n // 2)
    else:
        return x * power(x * x, n // 2) ",O(logn)
"def fibonacci(n):
    if n <= 1:
        return n
    return fibonacci(n-1) + fibonacci(n-2) ",O(2^n)
"def check_duplicates(arr):
    seen = set()
    for item in arr:
        if item in seen:
            return True
        seen.add(item)
    return False ",O(n)
"def map_values(arr, func):
    return [func(x) for x in arr] ",O(n)
"def is_palindrome(s):
    return s == s[::-1] ",O(n)
"def two_sum(nums, target):
    seen = {}
    for i, num in enumerate(nums):
        complement = target - num
        if complement in seen:
            return [seen[complement], i]
        seen[num] = i
    return [] ",O(n)
"def quicksort(arr):
    if len(arr) <= 1:
        return arr
    pivot = arr[len(arr) // 2]
    left = [x for x in arr if x < pivot]
    middle = [x for x in arr if x == pivot]
    right = [x for x in arr if x > pivot]
    return quicksort(left) + middle + quicksort(right) ",O(nlogn)
"def count_elements(arr):
    return len(arr) ",O(1)
"def is_sorted(arr):
    for i in range(len(arr) - 1):
        if arr[i] > arr[i + 1]:
            return False
    return True ",O(n)
"def intersection(list1, list2):
    set1 = set(list1)
    result = []
    for item in list2:
        if item in set1:
            result.append(item)
    return result ",O(n)
"def nth_fibonacci_iterative(n):
    a, b = 0, 1
    for _ in range(n):
        a, b = b, a + b
    return a ",O(n)
"def exponential_complexity(n):
    if n <= 0:
        return 1
    return exponential_complexity(n-1) + exponential_complexity(n-1) ",O(2^n)
"def contains_duplicate(nums):
    return len(nums) != len(set(nums)) ",O(n)
"def is_power_of_two(n):
    return n > 0 and (n & (n - 1)) == 0 ",O(1)
"def permutations(arr):
    if len(arr) <= 1:
        return [arr]
    result = []
    for i in range(len(arr)):
        current = arr[i]
        remaining = arr[:i] + arr[i+1:]
        for p in permutations(remaining):
            result.append([current] + p)
    return result ",O(n!)
"def detect_cycle(head):
    if not head or not head.next:
        return False
    slow = head
    fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
        if slow == fast:
            return True
    return False ",O(n)
"def tiling_problem(n):
    if n <= 2:
        return n
    dp = [0] * (n + 1)
    dp[1] = 1
    dp[2] = 2
    for i in range(3, n + 1):
        dp[i] = dp[i-1] + dp[i-2]
    return dp[n] ",O(n)
"def find_duplicate(nums):
    slow = nums[0]
    fast = nums[0]
    while True:
        slow = nums[slow]
        fast = nums[nums[fast]]
        if slow == fast:
            break
    
    slow = nums[0]
    while slow != fast:
        slow = nums[slow]
        fast = nums[fast]
    
    return slow ",O(n)
"def kadane_algorithm(nums):
    current_max = global_max = nums[0]
    
    for i in range(1, len(nums)):
        current_max = max(nums[i], current_max + nums[i])
        global_max = max(global_max, current_max)
    
    return global_max ",O(n)
"def jump_game(nums):
    max_reach = 0
    for i in range(len(nums)):
        if i > max_reach:
            return False
        max_reach = max(max_reach, i + nums[i])
    return True ",O(n)
"def valid_parentheses(s):
    stack = []
    mapping = {')': '(', '}': '{', ']': '['}
    
    for char in s:
        if char in mapping:
            top_element = stack.pop() if stack else '#'
            if mapping[char] != top_element:
                return False
        else:
            stack.append(char)
    
    return not stack ",O(n)
"def get_middle_element(arr):
    return arr[len(arr) // 2] ",O(1)
"def swap_first_last(arr):
    if len(arr) <= 1:
        return arr
    arr[0], arr[-1] = arr[-1], arr[0]
    return arr ",O(1)
"def is_empty(arr):
    return len(arr) == 0 ",O(1)
"def count_frequency(arr):
    freq = {}
    for item in arr:
        if item in freq:
            freq[item] += 1
        else:
            freq[item] = 1
    return freq ",O(n)
"def list_sum_recursive(lst):
    if not lst:
        return 0
    return lst[0] + list_sum_recursive(lst[1:]) ",O(n)
"def find_second_largest(arr):
    if len(arr) < 2:
        return None
    
    largest = second = float('-inf')
    for num in arr:
        if num > largest:
            second = largest
            largest = num
        elif num > second and num != largest:
            second = num
    
    return second if second != float('-inf') else None ",O(n)
"def is_anagram(s1, s2):
    return sorted(s1) == sorted(s2) ",O(nlogn)
"def reverse_string(s):
    return s[::-1] ",O(n)
"def find_missing_number(nums):
    n = len(nums)
    expected_sum = n * (n + 1) // 2
    actual_sum = sum(nums)
    return expected_sum - actual_sum ",O(n)
"def first_unique_char(s):
    char_count = {}
    for char in s:
        char_count[char] = char_count.get(char, 0) + 1
    
    for i, char in enumerate(s):
        if char_count[char] == 1:
            return i
    
    return -1 ",O(n)
"def reverse_words(sentence):
    words = sentence.split()
    return ' '.join(reversed(words)) ",O(n)
"def find_peak_element(nums):
    left, right = 0, len(nums) - 1
    
    while left < right:
        mid = (left + right) // 2
        if nums[mid] < nums[mid + 1]:
            left = mid + 1
        else:
            right = mid
    
    return left ",O(logn)
"def is_happy_number(n):
    seen = set()
    while n != 1 and n not in seen:
        seen.add(n)
        n = sum(int(digit) ** 2 for digit in str(n))
    return n == 1 ",O(logn)
"def max_subarray_sum(nums):
    max_so_far = nums[0]
    max_ending_here = nums[0]
    
    for i in range(1, len(nums)):
        max_ending_here = max(nums[i], max_ending_here + nums[i])
        max_so_far = max(max_so_far, max_ending_here)
    
    return max_so_far ",O(n)
"def binary_search_recursive(arr, target, left, right):
    if left > right:
        return -1
    
    mid = (left + right) // 2
    
    if arr[mid] == target:
        return mid
    elif arr[mid] > target:
        return binary_search_recursive(arr, target, left, mid - 1)
    else:
        return binary_search_recursive(arr, target, mid + 1, right) ",O(logn)
"def rotate_array(nums, k):
    n = len(nums)
    k = k % n
    nums[:] = nums[n-k:] + nums[:n-k]
    return nums ",O(n)
"def string_to_integer(s):
    return int(s) ",O(n)
"def fibonacci_dp(n):
    if n <= 1:
        return n
    
    dp = [0] * (n + 1)
    dp[1] = 1
    
    for i in range(2, n + 1):
        dp[i] = dp[i-1] + dp[i-2]
    
    return dp[n] ",O(n)
"def calculate_pow(x, n):
    return x ** n ",O(logn)
"def is_valid_sudoku(board):
    rows = [set() for _ in range(9)]
    cols = [set() for _ in range(9)]
    boxes = [set() for _ in range(9)]
    
    for i in range(9):
        for j in range(9):
            if board[i][j] == '.':
                continue
            
            if (board[i][j] in rows[i] or
                board[i][j] in cols[j] or
                board[i][j] in boxes[(i//3)*3 + j//3]):
                return False
            
            rows[i].add(board[i][j])
            cols[j].add(board[i][j])
            boxes[(i//3)*3 + j//3].add(board[i][j])
    
    return True ",O(1)
"def dutch_national_flag(arr):
    low, mid, high = 0, 0, len(arr) - 1
    
    while mid <= high:
        if arr[mid] == 0:
            arr[low], arr[mid] = arr[mid], arr[low]
            low += 1
            mid += 1
        elif arr[mid] == 1:
            mid += 1
        else:  # arr[mid] == 2
            arr[mid], arr[high] = arr[high], arr[mid]
            high -= 1
    
    return arr ",O(n)
"def next_permutation(nums):
    i = len(nums) - 2
    while i >= 0 and nums[i] >= nums[i + 1]:
        i -= 1
    
    if i >= 0:
        j = len(nums) - 1
        while nums[j] <= nums[i]:
            j -= 1
        nums[i], nums[j] = nums[j], nums[i]
    
    left, right = i + 1, len(nums) - 1
    while left < right:
        nums[left], nums[right] = nums[right], nums[left]
        left += 1
        right -= 1
    
    return nums ",O(n)
"def is_perfect_square(num):
    if num < 0:
        return False
    
    left, right = 0, num
    while left <= right:
        mid = (left + right) // 2
        square = mid * mid
        
        if square == num:
            return True
        elif square < num:
            left = mid + 1
        else:
            right = mid - 1
    
    return False ",O(logn)
"def has_cycle(head):
    if not head or not head.next:
        return False
    
    slow = head
    fast = head.next
    
    while slow != fast:
        if not fast or not fast.next:
            return False
        slow = slow.next
        fast = fast.next.next
    
    return True ",O(n)
"def generate_pascals_triangle(num_rows):
    if num_rows == 0:
        return []
    
    result = [[1]]
    
    for i in range(1, num_rows):
        row = [1]
        for j in range(1, i):
            row.append(result[i-1][j-1] + result[i-1][j])
        row.append(1)
        result.append(row)
    
    return result ",O(n^2)
"def get_first(lst):
    return lst[0]",O(1)
"def get_last(lst):
    return lst[-1]",O(1)
"def dict_get(d, k):
    return d.get(k)",O(1)
"def set_add(s, x):
    s.add(x)",O(1)
"def check_membership(s, x):
    return x in s",O(1)
"def stack_push(s, x):
    s.append(x)",O(1)
"def stack_pop(s):
    return s.pop()",O(1)
"def increment(c):
    c.value += 1",O(1)
"def toggle_light(l):
    l.is_on = not l.is_on",O(1)
"def get_balance(a):
    return a.balance",O(1)
"def reset(c):
    c.value = 0",O(1)
"def is_even(n):
    return n % 2 == 0",O(1)
"def swap(a, b):
    return b, a",O(1)
"def update_cache(c, k, v):
    c[k] = v",O(1)
"def get_env(e, v):
    return e.get(v)",O(1)
"def set_bit(n, p):
    return n | (1 << p)",O(1)
"def clear_bit(n, p):
    return n & ~(1 << p)",O(1)
"def is_empty(lst):
    return len(lst) == 0",O(1)
"def linked_list_head(ll):
    return ll.head.data",O(1)
"def generate_id():
    return uuid.uuid4().hex",O(1)
"def is_true(f):
    return f is True",O(1)
"def set_default(d, k, v):
    d.setdefault(k, v)",O(1)
"def list_length(lst):
    return len(lst)",O(1)
"def delete_key(d, k):
    del d[k]",O(1)
"def return_100():
    return 100",O(1)
"def add(a, b):
    return a + b",O(1)
"def subtract(a, b):
    return a - b",O(1)
"def multiply(a, b):
    return a * b",O(1)
"def divide(a, b):
    return a / b",O(1)
"def modulo(a, b):
    return a % b",O(1)
"def square(n):
    return n ** 2",O(1)
"def cube(n):
    return n ** 3",O(1)
"def left_shift(n, p):
    return n << p",O(1)
"def right_shift(n, p):
    return n >> p",O(1)
"def bitwise_and(a, b):
    return a & b",O(1)
"def bitwise_or(a, b):
    return a | b",O(1)
"def bitwise_xor(a, b):
    return a ^ b",O(1)
"def bitwise_not(n):
    return ~n",O(1)
"def check_bit(n, p):
    return (n >> p) & 1",O(1)
"def deque_append_left(dq, x):
    dq.appendleft(x)",O(1)
"def deque_pop_left(dq):
    return dq.popleft()",O(1)
"def get_stack_top(s):
    return s[-1]",O(1)
"def set_clear(s):
    s.clear()",O(1)
"def dict_keys(d):
    return d.keys()",O(1)
"def dict_values(d):
    return d.values()",O(1)
"def dict_items(d):
    return d.items()",O(1)
"def dict_contains(d, k):
    return k in d",O(1)
"def dict_popitem(d):
    return d.popitem()",O(1)
"def setattr_obj(obj, attr, val):
    setattr(obj, attr, val)",O(1)
"def getattr_obj(obj, attr):
    return getattr(obj, attr)",O(1)
"def delattr_obj(obj, attr):
    delattr(obj, attr)",O(1)
"def is_instance(obj, cls):
    return isinstance(obj, cls)",O(1)
"def is_subclass(cls, parent):
    return issubclass(cls, parent)",O(1)
"def identity(a, b):
    return a is b",O(1)
"def is_none(x):
    return x is None",O(1)
"def bool_check(x):
    return bool(x)",O(1)
"def string_first(s):
    return s[0]",O(1)
"def string_last(s):
    return s[-1]",O(1)
"def string_len(s):
    return len(s)",O(1)
"def list_append(lst, x):
    lst.append(x)",O(1)
"def list_clear(lst):
    lst.clear()",O(1)
"def tuple_unpack(t):
    a, b = t",O(1)
"def create_tuple(a, b):
    return (a, b)",O(1)
"def create_list(a):
    return [a]",O(1)
"def create_dict(k, v):
    return {k: v}",O(1)
"def create_set(x):
    return {x}",O(1)
"def none_func():
    return None",O(1)
"def check_type(x, t):
    return type(x) is t",O(1)
"def max_int():
    return sys.maxsize",O(1)
"def min_int():
    return -sys.maxsize - 1",O(1)
"def check_positive(n):
    return n > 0",O(1)
"def check_negative(n):
    return n < 0",O(1)
"def absolute(n):
    return abs(n)",O(1)
"def invert_bool(b):
    return not b",O(1)
"def check_empty_str(s):
    return s == ''",O(1)
"def check_str_length(s, l):
    return len(s) == l",O(1)
"def dict_size(d):
    return len(d)",O(1)
"def set_size(s):
    return len(s)",O(1)
"def deque_append(dq, x):
    dq.append(x)",O(1)
"def deque_pop(dq):
    return dq.pop()",O(1)
"def deque_len(dq):
    return len(dq)",O(1)
"def is_dict_empty(d):
    return len(d) == 0",O(1)
"def is_set_empty(s):
    return len(s) == 0",O(1)
"def logical_and(a, b):
    return a and b",O(1)
"def logical_or(a, b):
    return a or b",O(1)
"def logical_not(a):
    return not a",O(1)
"def is_zero(n):
    return n == 0",O(1)
"def greater_than(a, b):
    return a > b",O(1)
"def is_positive(n):
    return n > 0",O(1)
"def is_negative(n):
    return n < 0",O(1)
"def is_non_negative(n):
    return n >= 0",O(1)
"def is_non_zero(n):
    return n != 0",O(1)
"def get_global():
    return GLOBAL_VAR",O(1)
"def set_global(x):
    global GLOBAL_VAR; GLOBAL_VAR = x",O(1)
"def identity_func(x):
    return x",O(1)
"def const_func():
    return 'constant'",O(1)
"def check_divisible(a, b):
    return a % b == 0",O(1)
"def mask_lower_byte(n):
    return n & 0xFF",O(1)
"def is_power_of_two(n):
    return (n & (n - 1)) == 0",O(1)
"def get_type(x):
    return type(x)",O(1)
"def lookup_default(d, k, default):
    return d[k] if k in d else default",O(1)
"def update_if_exists(d, k, v):
    if k in d: d[k] = v",O(1)
"def toggle_bit(n, p):
    return n ^ (1 << p)",O(1)
"def test_bit(n, p):
    return (n & (1 << p)) != 0",O(1)
"def sum_list(lst):
    return sum(lst)",O(n)
"def find_max(lst):
    return max(lst)",O(n)
"def linear_search(lst, target):
    return target in lst",O(n)
"def count_occurrences(lst, x):
    return lst.count(x)",O(n)
"def reverse_list(lst):
    return lst[::-1]",O(n)
"def copy_list(lst):
    return lst.copy()",O(n)
"def check_all_even(lst):
    return all(x % 2 == 0 for x in lst)",O(n)
"def has_negative(lst):
    return any(x < 0 for x in lst)",O(n)
"def product_list(lst):
    p = 1; [p := p * x for x in lst]; return p",O(n)
"def is_sorted(lst):
    return all(lst[i] <= lst[i+1] for i in range(len(lst)-1))",O(n)
"def remove_duplicates(lst):
    return list(dict.fromkeys(lst))",O(n)
"def cumulative_sum(lst):
    return [sum(lst[:i+1]) for i in range(len(lst))]",O(n)
"def average(lst):
    return sum(lst) / len(lst)",O(n)
"def square_elements(lst):
    return [x ** 2 for x in lst]",O(n)
"def increment_elements(lst):
    return [x + 1 for x in lst]",O(n)
"def ints_to_strings(lst):
    return list(map(str, lst))",O(n)
"def compare_lists(a, b):
    return a == b",O(n)
"def concat_lists(a, b):
    return a + b",O(n)
"def find_min_index(lst):
    return lst.index(min(lst))",O(n)
"def string_to_list(s):
    return list(s)",O(n)
"def count_vowels(s):
    return sum(1 for c in s if c in 'aeiouAEIOU')",O(n)
"def is_palindrome(s):
    return s == s[::-1]",O(n)
"def list_to_set(lst):
    return set(lst)",O(n)
"def list_to_dict(lst):
    return {i: x for i, x in enumerate(lst)}",O(n)
"def flatten(nested_lst):
    return [item for sublist in nested_lst for item in sublist]",O(n)
"def rotate_list(lst, k):
    return lst[k:] + lst[:k]",O(n)
"def dequeue(queue):
    return queue.pop(0) if queue else None",O(n)
"def insert_front(lst, x):
    lst.insert(0, x)",O(n)
"def deepcopy_list(lst):
    return [x.copy() for x in lst]",O(n)
"def sum_2d(matrix):
    return sum(num for row in matrix for num in row)",O(n)
"def max_2d(matrix):
    return max(max(row) for row in matrix)",O(n)
"def flatten_2d(matrix):
    return [num for row in matrix for num in row]",O(n)
"def file_line_count(file):
    return sum(1 for line in open(file))",O(n)
"def reverse_words(s):
    return ' '.join(word[::-1] for word in s.split())",O(n)
"def list_contains(lst, x):
    return x in lst",O(n)
"def ordered_remove_duplicates(lst):
    seen = set(); return [x for x in lst if not (x in seen or seen.add(x))]",O(n)
"def zip_lists(a, b):
    return list(zip(a, b))",O(n)
"def unzip_list(pairs):
    a, b = [], []; [a.append(x) or b.append(y) for x, y in pairs]; return a, b",O(n)
"def apply_func(lst, func):
    return [func(x) for x in lst]",O(n)
"def list_enumerate(lst):
    return list(enumerate(lst))",O(n)
"def all_condition(lst, cond):
    return all(cond(x) for x in lst)",O(n)
"def any_condition(lst, cond):
    return any(cond(x) for x in lst)",O(n)
"def find_first_cond(lst, cond):
    return next((x for x in lst if cond(x)), None)",O(n)
"def find_last_cond(lst, cond):
    return next((x for x in reversed(lst) if cond(x)), None)",O(n)
"def replace_in_list(lst, old, new):
    return [new if x == old else x for x in lst]",O(n)
"def count_true_values(lst):
    return sum(1 for x in lst if x)",O(n)
